"","Participant","Run","Block","Trial","Condition","Image","RestImage","ConditionOnset","ConditionResposne","ConditionRt"
"SON2_010.51","10",1,51,51,"negative","16F_F.png","Context004.jpg",1500.5547,"1!",0.5783
"SON2_010.52","10",1,52,52,"neutral","26M_N.png","Context004.jpg",1502.8495,"1!",0.6437
"SON2_010.53","10",1,53,53,"neutral","07F_N.png","Context004.jpg",1505.0933,"1!",0.823
"SON2_010.54","10",1,54,54,"negative","35M_F.png","Context004.jpg",1507.3717,"1!",0.697
"SON2_010.55","10",1,55,55,"neutral","17F_N.png","Context004.jpg",1509.8654,"1!",0.5949
"SON2_010.56","10",1,56,56,"neutral","38M_N.png","Context004.jpg",1512.3261,"1!",0.7501
"SON2_010.57","10",1,57,57,"positive","18F_H.png","Context004.jpg",1514.5209,"1!",0.6834
"SON2_010.58","10",1,58,58,"negative","39M_F.png","Context004.jpg",1516.716,"1!",0.7525
"SON2_010.59","10",1,59,59,"negative","27M_F.png","Context004.jpg",1519.0272,"1!",0.6972
"SON2_010.60","10",1,60,60,"positive","26M_H.png","Context004.jpg",1521.2388,"1!",0.6855
"SON2_010.61","10",1,61,61,"negative","10F_F.png","Context004.jpg",1523.5005,"1!",0.9044
"SON2_010.62","10",1,62,62,"positive","28M_H.png","Context004.jpg",1525.6616,"1!",0.7831
"SON2_010.63","10",1,63,63,"neutral","29M_N.png","Context004.jpg",1527.9895,"1!",0.6791
"SON2_010.64","10",1,64,64,"negative","19F_F.png","Context004.jpg",1530.3676,"1!",0.7334
"SON2_010.65","10",1,65,65,"negative","18F_F.png","Context004.jpg",1532.5794,"1!",0.9377
"SON2_010.66","10",1,66,66,"positive","12F_H.png","Context004.jpg",1534.6411,"1!",0.772
"SON2_010.67","10",1,67,67,"positive","14F_H.png","Context004.jpg",1536.7854,"1!",0.7708
"SON2_010.68","10",1,68,68,"neutral","42M_N.png","Context004.jpg",1539.0966,"1!",0.6991
"SON2_010.69","10",1,69,69,"neutral","34M_N.png","Context004.jpg",1541.492,"1!",0.7055
"SON2_010.70","10",1,70,70,"negative","34M_F.png","Context004.jpg",1543.7856,"1!",0.6589
"SON2_010.71","10",1,71,71,"positive","42M_H.png","Context004.jpg",1546.0303,"1!",0.9102
"SON2_010.72","10",1,72,72,"negative","01F_F.png","Context004.jpg",1548.1925,"1!",1.2608
"SON2_010.73","10",1,73,73,"negative","05F_F.png","Context004.jpg",1550.3372,"1!",0.7558
"SON2_010.74","10",1,74,74,"negative","07F_F.png","Context004.jpg",1552.4991,"1!",0.6101
"SON2_010.75","10",1,75,75,"neutral","09F_N.png","Context004.jpg",1554.9593,"7&",1.0692
"SON2_010.76","10",1,76,76,"negative","25M_F.png","Context004.jpg",1557.1873,"1!",0.6565
"SON2_010.77","10",1,77,77,"positive","38M_H.png","Context004.jpg",1559.4163,"1!",0.597
"SON2_010.78","10",1,78,78,"neutral","30M_N.png","Context004.jpg",1561.7274,"1!",0.4859
"SON2_010.79","10",1,79,79,"positive","15F_H.png","Context004.jpg",1563.9047,"1!",0.5238
"SON2_010.80","10",1,80,80,"negative","42M_F.png","Context004.jpg",1566.1838,"1!",0.5177
"SON2_010.81","10",1,81,81,"negative","02F_F.png","Context004.jpg",1568.4282,"1!",0.777
"SON2_010.82","10",1,82,82,"positive","36M_H.png","Context004.jpg",1570.705,"1!",0.619
"SON2_010.83","10",1,83,83,"neutral","19F_N.png","Context004.jpg",1572.9837,"1!",0.5412
"SON2_010.84","10",1,84,84,"negative","11F_F.png","Context004.jpg",1575.178,"7&",0.7943
"SON2_010.85","10",1,85,85,"positive","35M_H.png","Context004.jpg",1577.5059,"1!",0.7943
"SON2_010.86","10",1,86,86,"neutral","35M_N.png","Context004.jpg",1579.9008,"1!",0.7281
"SON2_010.87","10",1,87,87,"neutral","12F_N.png","Context004.jpg",1582.2784,"1!",1.1103
"SON2_010.88","10",1,88,88,"positive","39M_H.png","Context004.jpg",1584.4897,"1!",0.6269
"SON2_010.89","10",1,89,89,"positive","40M_H.png","Context004.jpg",1586.6185,"1!",0.6586
"SON2_010.90","10",1,90,90,"negative","23M_F.png","Context004.jpg",1588.9132,"1!",0.6121
"SON2_010.91","10",1,91,91,"positive","21M_H.png","Context004.jpg",1591.1904,"7&",0.8059
"SON2_010.92","10",1,92,92,"positive","24M_H.png","Context004.jpg",1593.535,"1!",0.6367
"SON2_010.93","10",1,93,93,"neutral","20M_N.png","Context004.jpg",1595.83,"1!",0.767
"SON2_010.94","10",1,94,94,"negative","36M_F.png","Context004.jpg",1598.041,"1!",0.7634
"SON2_010.95","10",1,95,95,"positive","34M_H.png","Context004.jpg",1600.402,"1!",0.7464
"SON2_010.96","10",1,96,96,"neutral","21M_N.png","Context004.jpg",1602.7798,"7&",1.2966
"SON2_010.97","10",1,97,97,"positive","10F_H.png","Context004.jpg",1605.0411,"1!",0.8832
"SON2_010.98","10",1,98,98,"neutral","10F_N.png","Context004.jpg",1607.3357,"1!",1.2848
"SON2_010.99","10",1,99,99,"positive","37M_H.png","Context004.jpg",1609.68,"1!",1.0845
"SON2_010.100","10",1,100,100,"neutral","13F_N.png","Context004.jpg",1611.9082,"1!",0.8321
"SON2_010.101","10",1,101,101,"positive","29M_H.png","Context004.jpg",1614.2867,"1!",0.7585
"SON2_010.102","10",1,102,102,"positive","03F_H.png","Context004.jpg",1616.6306,"1!",0.6619
"SON2_010.103","10",1,103,103,"positive","31M_H.png","Context004.jpg",1619.2245,"1!",0.8362
"SON2_010.104","10",1,104,104,"neutral","32M_N.png","Context004.jpg",1621.5361,"1!",0.7569
"SON2_010.105","10",1,105,105,"positive","27M_H.png","Context004.jpg",1623.8466,"1!",0.6377
"SON2_010.106","10",1,106,106,"neutral","39M_N.png","Context004.jpg",1626.0915,"1!",0.7847
"SON2_010.107","10",1,107,107,"neutral","15F_N.png","Context004.jpg",1628.4865,"1!",0.5105
"SON2_010.108","10",1,108,108,"negative","24M_F.png","Context004.jpg",1630.7971,"1!",0.4234
"SON2_010.109","10",1,109,109,"negative","28M_F.png","Context004.jpg",1632.9587,"1!",0.7021
"SON2_010.110","10",1,110,110,"positive","06F_H.png","Context004.jpg",1635.3034,"7&",0.9811
"SON2_010.111","10",1,111,111,"positive","13F_H.png","Context004.jpg",1637.5644,"1!",0.9442
"SON2_010.112","10",1,112,112,"neutral","02F_N.png","Context004.jpg",1639.8922,"1!",0.8803
"SON2_010.113","10",1,113,113,"positive","41M_H.png","Context004.jpg",1642.1202,"1!",0.7401
"SON2_010.114","10",1,114,114,"negative","03F_F.png","Context004.jpg",1644.3485,"1!",1.4639
"SON2_010.115","10",1,115,115,"positive","23M_H.png","Context004.jpg",1646.6595,"7&",0.8408
"SON2_010.116","10",1,116,116,"negative","43M_F.png","Context004.jpg",1648.9542,"7&",1.1783
"SON2_010.117","10",1,117,117,"neutral","18F_N.png","Context004.jpg",1651.5156,"1!",0.5934
"SON2_010.118","10",1,118,118,"negative","06F_F.png","Context004.jpg",1653.7604,"7&",0.9088
"SON2_010.119","10",1,119,119,"neutral","05F_N.png","Context004.jpg",1656.3536,"1!",0.8427
"SON2_010.120","10",1,120,120,"neutral","25M_N.png","Context004.jpg",1658.565,"1!",0.6714
